         33841 function calls (33739 primitive calls) in 80.793 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.020    0.020    0.026    0.026 laguerre.py:59(<module>)
        1    0.020    0.020    0.026    0.026 chebyshev.py:87(<module>)
        3    0.026    0.009    0.026    0.009 {warpAffine}
        1    0.020    0.020    0.026    0.026 hermite_e.py:59(<module>)
        1    0.024    0.024    0.025    0.025 socket.py:45(<module>)
        1    0.005    0.005    0.024    0.024 util.py:35(<module>)
        8    0.021    0.003    0.021    0.003 {flip}
        1    0.001    0.001    0.020    0.020 polynomial.py:4(<module>)
        1    0.018    0.018    0.018    0.018 {method 'recv' of '_multiprocessing.Connection' objects}
        2    0.001    0.000    0.018    0.009 random.py:100(seed)
        1    0.004    0.004    0.017    0.017 core.py:21(<module>)
        1    0.004    0.004    0.017    0.017 index_tricks.py:1(<module>)
        3    0.016    0.005    0.016    0.005 {resize}
        1    0.016    0.016    0.016    0.016 {imwrite}
        1    0.003    0.003    0.015    0.015 ctypeslib.py:51(<module>)
       17    0.001    0.000    0.015    0.001 extraction.py:80(get_second_singular)
        1    0.005    0.005    0.015    0.015 npyio.py:1(<module>)
       17    0.011    0.001    0.015    0.001 linalg.py:1225(svd)
        1    0.000    0.000    0.014    0.014 preprocessing.py:11(__init__)
       14    0.001    0.000    0.014    0.001 sre_parse.py:686(parse)
        2    0.014    0.007    0.014    0.007 {function seed at 0x6c2deef0}
        1    0.002    0.002    0.014    0.014 tempfile.py:18(<module>)
    20/14    0.000    0.000    0.013    0.001 sre_parse.py:310(_parse_sub)
        1    0.001    0.001    0.013    0.013 _internal.py:6(<module>)
        1    0.004    0.004    0.013    0.013 subprocess.py:387(<module>)
    20/14    0.005    0.000    0.013    0.001 sre_parse.py:388(_parse)
        1    0.012    0.012    0.012    0.012 {warpPerspective}
        1    0.008    0.008    0.012    0.012 __init__.py:4(<module>)
        1    0.002    0.002    0.012    0.012 random.py:40(<module>)
       14    0.000    0.000    0.012    0.001 sre_compile.py:552(_code)
       17    0.011    0.001    0.012    0.001 extraction.py:72(get_total_energy_of_block)
        2    0.000    0.000    0.012    0.006 preprocessing.py:258(get_blurred)
        2    0.011    0.006    0.011    0.006 {GaussianBlur}
        1    0.005    0.005    0.011    0.011 case.py:1(<module>)
        1    0.007    0.007    0.010    0.010 __init__.py:88(<module>)
        1    0.002    0.002    0.009    0.009 numerictypes.py:82(<module>)
        1    0.009    0.009    0.009    0.009 {dilate}
        1    0.009    0.009    0.009    0.009 linalg.py:10(<module>)
    42/14    0.003    0.000    0.008    0.001 sre_compile.py:64(_compile)
        9    0.001    0.000    0.008    0.001 threading.py:726(start)
        1    0.003    0.003    0.008    0.008 pickle.py:25(<module>)
        4    0.000    0.000    0.008    0.002 warnings.py:46(filterwarnings)
        2    0.004    0.002    0.008    0.004 function_base.py:1(<module>)
      666    0.006    0.000    0.008    0.000 string.py:158(convert)
        1    0.007    0.007    0.007    0.007 {findContours}
        1    0.000    0.000    0.007    0.007 random.py:91(__init__)
       17    0.002    0.000    0.007    0.000 process.py:76(_cleanup)
       55    0.006    0.000    0.007    0.000 threading.py:260(__init__)
        2    0.005    0.003    0.007    0.003 collections.py:288(namedtuple)
       15    0.005    0.000    0.007    0.000 process.py:94(__init__)
       10    0.002    0.000    0.007    0.001 threading.py:656(__init__)
        1    0.002 5    0.023 {method 'readlines' of 'file' objects}
       39    0.001    0.000    0.045    0.001 threading.py:603(wait)
        2    0.005    0.003    0.044    0.022 connection.py:35(<module>)
       40    0.006    0.000    0.042    0.001 threading.py:656(__init__)
        1    0.041    0.041    0.041    0.041 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.039    0.039 preprocessing.py:165(get_perspective)
      215    0.033    0.000    0.038    0.000 threading.py:260(__init__)
        3    0.038    0.013    0.038    0.013 {posix.stat}
     1540    0.038    0.000    0.038    0.000 {posix.waitpid}
        1    0.002    0.002    0.036    0.036 extraction.py:1(<module>)
        1    0.003    0.003    0.034    0.034 __init__.py:7(<module>)
      135    0.004    0.000    0.033    0.000 threading.py:242(Condition)
        6    0.000    0.000    0.032    0.005 string.py:148(substitute)
        6    0.024    0.004    0.032    0.005 {method 'sub' of '_sre.SRE_Pattern' objects}
      132    0.002    0.000    0.029    0.000 re.py:230(_compile)
        1    0.022    0.022    0.029    0.029 polynomial.py:55(<module>)
       56    0.021    0.000    0.029    0.001 process.py:94(__init__)
        1    0.005    0.005    0.028    0.028 __init__.py:45(<module>)
        1    0.028    0.028    0.028    0.028 {adaptiveThreshold}
        1    0.017    0.017    0.027    0.027 numeric.py:1(<module>)
        1    0.007    0.007    0.027    0.027 __init__.py:38(<module>)
       14    0.001    0.000    0.027    0.002 sre_compile.py:567(compile)
       15    0.000    0.000    0.027    0.002 re.py:192(compile)
        1    0.021    0.021    0.027    0.027 hermite.py:59(<module>)
        1    0.021    0.021    0.026    0.026 legendre.py:83(<module>)
        1    0.020    0.020    0.026    0.026 laguerre.py:59(<module>)
        1    0.020    0.020    0.026    0.026 chebyshev.py:87(<module>)
        3    0.026    0.009    0.026    0.009 {warpAffine}
        1    0.020    0.020    0.026    0.026 hermite_e.py:59(<module>)
        1    0.024    0.024    0.025    0.025 socket.py:45(<module>)
       40    0.001    0.000    0.024    0.001 threading.py:542(Event)
        1    0.005    0.005    0.024    0.024 util.py:35(<module>)
       40    0.001    0.000    0.024    0.001 threading.py:561(__init__)
        2    0.001    0.000    0.023    0.012 random.py:100(seed)
      152    0.005    0.000    0.023    0.000 extraction.py:58(get_average_luminance_of_block)
       56    0.001    0.000    0.021    0.000 synchronize.py:146(__init__)
        8    0.021    0.003    0.021    0.003 {flip}
       56    0.014    0.000    0.021    0.000 synchronize.py:74(__init__)
        1    0.001    0.001    0.020    0.020 polynomial.py:4(<module>)
        2    0.020    0.010    0.020    0.010 {function seed at 0x6c2deef0}
        1    0.001    0.001    0.018    0.018 threading.py:1211(_after_fork)
       26    0.000    0.000    0.018    0.001 fromnumeric.py:2718(std)
      152    0.004    0.000    0.018    0.000 fromnumeric.py:1621(sum)
       26    0.001    0.000    0.017    0.001 _methods.py:119(_std)
        1    0.004    0.004    0.017    0.017 core.py:21(<module>)
        1    0.004    0.004    0.017    0.017 index_tricks.py:1(<module>)
        3    0.016    0.005    0.016    0.005 {resize}
      205    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.016    0.016    0.016    0.016 {imwrite}
       26    0.008    0.000    0.016    0.001 _methods.py:73(_var)
        1    0.003    0.003    0.015    0.015 ctypeslib.py:51(<module>)
        1    0.005    0.005    0.015    0.015 npyio.py:1(<module>)
        1    0.000    0.000    0.014    0.014 preprocessing.py:11(__init__)
       14    0.001    0.000    0.014    0.001 sre_parse.py:686(parse)
      113    0.014    0.000    0.014    0.000 {method 'flush' of 'file' objects}
        1    0.014    0.014    0.014    0.014 {method 'recv' of '_multiprocessing.Connection' objects}
        1    0.002    0.002    0.014    0.014 tempfile.py:18(<module>)
      153    0   0.002    0.006    0.006 pool.py:35(<module>)
        1    0.002    0.002    0.006    0.006 result.py:1(<module>)
        1    0.001    0.001    0.006    0.006 threading.py:1211(_after_fork)
