         55031 function calls (53739 primitive calls) in 5.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.002    0.002 streams.py:30(<module>)
      783    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        4    0.002    0.000    0.002    0.000 {setUseOptimized}
        1    0.001    0.001    0.002    0.002 opcode.py:5(<module>)
        9    0.002    0.000    0.002    0.000 {posix.stat}
      400    0.002    0.000    0.002    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.002    0.002 _polybase.py:8(<module>)
        1    0.001    0.001    0.002    0.002 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 camera.py:2676(_set_meter_mode)
        9    0.000    0.000    0.001    0.000 extras.py:231(__init__)
        3    0.000    0.000    0.001    0.000 renderers.py:333(_set_transform)
      272    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       19    0.001    0.000    0.001    0.000 nosetester.py:170(__init__)
       82    0.000    0.000    0.001    0.000 collections.py:358(<genexpr>)
       14    0.000    0.000    0.001    0.000 mmalobj.py:274(to_fraction)
       15    0.000    0.000    0.001    0.000 mmalobj.py:560(__init__)
       26    0.001    0.000    0.001    0.000 numerictypes.py:229(bitname)
        9    0.000    0.000    0.001    0.000 extras.py:235(getdoc)
      112    0.001    0.000    0.001    0.000 sre_parse.py:266(_escape)
        1    0.001    0.001    0.001    0.001 serial.py:49(<module>)
      688    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
       35    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
        7    0.000    0.000    0.001    0.000 mmalobj.py:873(_get_framerate)
        1    0.000    0.000    0.001    0.001 numerictypes.py:957(_register_types)
        1    0.001    0.001    0.001    0.001 _iotools.py:3(<module>)
       74    0.001    0.000    0.001    0.000 sre_compile.py:101(fixup)
       10    0.000    0.000    0.001    0.000 mmalobj.py:660(__init__)
        7    0.001    0.000    0.001    0.000 {dir}
        1    0.001    0.001    0.001    0.001 dill.py:371(Pickler)
       23    0.001    0.000    0.001    0.000 sre_parse.py:225(isname)
        1    0.000    0.000    0.001    0.001 hermite.py:59(<module>)
        3    0.001    0.000    0.001    0.000 {posix.urandom}
      949    0.001    0.000    0.001    0.000 {ord}
        1    0.000    0.000    0.001    0.001 hermite_e.py:59(<module>)
        1    0.000    0.000    0.001    0.001 legendre.py:83(<module>)
        1    0.000    0.000    0.001    0.001 laguerre.py:59(<module>)
        1    0.000    0.000    0.001    0.001 chebyshev.py:87(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:265(_reset_cache)
      5/4    0.000    0.000    0.001    0.000 fractions.py:546(_richcmp)
       97    0.001    0.000    0.001    0.000 _weakrefset.py:83(add)
        8    0.000    0.000    0.001    0.000 mmalobj.py:314(to_rational)
        1    0.001    0.001    0.001    0.001 tunnel.py:34(<module>)
       12    0.001    0.000    0.001    0.000 ctypeslib.py:330(prep_simple)
        8    0.000    0.000    0.001    0.000 core.py:7792(__init__)
        1    0.000    0.000    0.001    0.001 camera.py:3206(_set_hflip)
       27    0.001    0.000    0.001    0.000 core.py:863(__init__)
        3    0.001    0.000    0.001    0.000 decimal.py:3783(__init__)
      2/1    0.000    0.000    0.001    0.001 fractions.py:584(__ge__)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        2    0.001    0.000    0.001    0.000 mmalobj.py:476(close)
        1    0.001    0.001    0.001    0.001 {method 'fromfile' of 'bitarray._bitarray' objects}
        6    0.000    0.000    0.001    0.000 camera.py:90(docstring_values)
       82    0.000    0.000    0.001    0.000 collections.py:356(<genexpr>)
        1    0.000    0.000    0.001    0.001 camera.py:3177(_set_vflip)
       69    0.001    0.000    0.001    0.000 sre_parse.py:72(opengroup)
        8    0.000    0.000    0.001    0.000 core.py:7797(getdoc)
        8    0.000    0.000    0.001    0.000 mmalobj.py:468(<genexpr>)
        1    0.001    0.001    0.001    0.001 renderers.py:30(<module>)
        1    0.001    0.001    0.001    0.001 pickle.py:827(Unpickler)
        3    0.000    0.000    0.001    0.000 __init__.py:1560(getLogger)
      411    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      148    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
       46    0.001    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
        1    0.001    0.001    0.001    0.001 records.py:36(<module>)
        1    0.000    0.000    0.001    0.001 collections.py:38(__init__)
        1    0.001    0.001    0.001    0.001 polyutils.py:45(<module>)
      269    0.001    0.000    0.001    0.000 {numpy.core.multiarray.add_docstring}
        1    0.001    0.001    0.001    0.001 copier.py:31(<module>)
        3    0.000    0.000    0.001    0.000 __init__.py:1018(getLogger)
        1    0.001    0.001    0.001    0.001 mmal.py:981(MMAL_PARAMETER_CAMERA_INFO_T)
        6    0.000    0.000    0.001    0.000 mmalobj.py:881(_set_framerate)
      120    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       27    0.000    0.000    0.001    0.000 sre_parse.py:187(__init__)
      181    0.001    0.000    0.001    0.000 {_sre.getlower}
        1    0.000    0.000    0.001    0.001 os.py:35(_get_exports_list)
        1    0.001    0.001    0.001    0.001 _datasource.py:35(<module>)
        1    0.000    0.000    0.001    0.001 connection.py:48(Pipe)
       23    0.000    0.000    0.001    0.000 mmalobj.py:426(__init__)
       12    0.000    0.000    0.001    0.000 mmalobj.py:472(<genexpr>)
        1    0.001    0.001    0.001    0.001 defchararray.py:17(<module>)
        1    0.001    0.001    0.001    0.001 {imp.find_module}
      616    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
       18    0.000    0.000    0.001    0.000 core.py:941(__init__)
        1    0.000    0.000    0.001    0.001 camera.py:1933(_configure_splitter)
        1    0.000    0.000    0.001    0.001 numerictypes.py:285(_add_types)
        5    0.000    0.000    0.001    0.000 _pyio.py:355(__del__)
        1    0.000    0.000    0.001    0.001 renderers.py:138(_set_layer)
        1    0.000    0.000    0.001    0.001 camera.py:2388(_set_sharpness)
       93    0.001    0.000    0.001    0.000 exc.py:146(mmal_check)
       15    0.001    0.000    0.001    0.000 mmalobj.py:947(__init__)
        1    0.001    0.001    0.001    0.001 connection.py:35(<module>)
       19    0.000    0.000    0.001    0.000 posixpath.py:127(dirname)
        1    0.000    0.000    0.001    0.001 camera.py:3154(_set_rotation)
        1    0.001    0.001    0.001    0.001 suite.py:1(<module>)
        1    0.001    0.001    0.001    0.001 signals.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _inspect.py:7(<module>)
       60    0.001    0.000    0.001    0.000 {repr}
       69    0.000    0.000    0.001    0.000 sre_parse.py:83(closegroup)
        6    0.000    0.000    0.001    0.000 decimal.py:514(__new__)
        3    0.000    0.000    0.001    0.000 __init__.py:825(__init__)
        1    0.001    0.001    0.001    0.001 <string>:1(Color)
        6    0.000    0.000    0.001    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.001    0.001 threading.py:1090(__init__)
        1    0.001    0.001    0.001    0.001 {binascii.hexlify}
        1    0.000    0.000    0.001    0.001 renderers.py:294(_set_hflip)
        1    0.001    0.001    0.001    0.001 numbers.py:295(Integral)
        1    0.001    0.001    0.001    0.001 encoders.py:582(PiVideoEncoder)
        9    0.000    0.000    0.001    0.000 functools.py:17(update_wrapper)
      181    0.001    0.000    0.001    0.000 sre_parse.py:143(__setitem__)
        1    0.000    0.000    0.001    0.001 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.001    0.001 mmalobj.py:545(__exit__)
        1    0.000    0.000    0.001    0.001 contextlib.py:1(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:147(_check_size)
        3    0.000    0.000    0.001    0.000 __init__.py:663(__init__)
       79    0.001    0.000    0.001    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.001    0.001 camera.py:2846(_set_awb_mode)
        1    0.000    0.000    0.001    0.001 camera.py:2766(_set_exposure_mode)
        1    0.000    0.000    0.001    0.001 Queue.py:1(<module>)
        4    0.000    0.000    0.001    0.000 mmalobj.py:1006(<lambda>)
        1    0.001    0.001    0.001    0.001 __init__.py:818(StreamHandler)
        6    0.000    0.000    0.001    0.000 mmalobj.py:857(_set_framesize)
        8    0.001    0.000    0.001    0.000 {open}
        6    0.000    0.000    0.001    0.000 {method 'join' of 'unicode' objects}
       27    0.001    0.000    0.001    0.000 {_sre.compile}
        1    0.000    0.000    0.001    0.001 renderers.py:245(_set_rotation)
       46    0.000    0.000    0.001    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.001    0.001 _pyio.py:1241(__init__)
      265    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       37    0.000    0.000    0.001    0.000 dill.py:455(_create_typemap)
        5    0.000    0.000    0.001    0.000 _pyio.py:731(close)
        1    0.000    0.000    0.001    0.001 camera.py:2426(_set_brightness)
        1    0.000    0.000    0.000    0.000 camera.py:2408(_set_contrast)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 renderers.py:116(_set_alpha)
        3    0.000    0.000    0.000    0.000 _pyio.py:921(__init__)
       54    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 camera.py:2932(_set_image_effect)
      397    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 camera.py:3240(_set_zoom)
        1    0.000    0.000    0.000    0.000 renderers.py:272(_set_vflip)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
        1    0.000    0.000    0.000    0.000 camera.py:2369(_set_saturation)
        1    0.000    0.000    0.000    0.000 renderers.py:160(_set_fullscreen)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        1    0.000    0.000    0.000    0.000 mmalobj.py:712(supported_formats)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 ssl.py:125(<dictcomp>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      128    0.000    0.000    0.000    0.000 sre_parse.py:219(isident)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fractions.py:44(Fraction)
        9    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
       44    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
      129    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 abstract_launcher.py:57(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _pyio.py:1480(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:29(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:545(update)
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 user.py:22(<module>)
        8    0.000    0.000    0.000    0.000 mmalobj.py:852(_get_framesize)
        1    0.000    0.000    0.000    0.000 threading.py:67(<module>)
        9    0.000    0.000    0.000    0.000 threading.py:147(acquire)
      145    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 mmal.py:1931(MMAL_COMPONENT_T)
        1    0.000    0.000    0.000    0.000 camera.py:2051(_get_framerate)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 numeric.py:2967(__enter__)
        3    0.000    0.000    0.000    0.000 utils.py:117(deprecate)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       38    0.000    0.000    0.000    0.000 sre_parse.py:234(_class_escape)
      112    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 mmal.py:224(MMAL_ES_FORMAT_T)
        1    0.000    0.000    0.000    0.000 _pyio.py:1578(close)
        6    0.000    0.000    0.000    0.000 core.py:1099(__init__)
        1    0.000    0.000    0.000    0.000 camera.py:3114(_set_color_effects)
        2    0.000    0.000    0.000    0.000 ssl.py:302(__new__)
