         502941 function calls (502559 primitive calls) in 31.777 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
        8    0.000    0.000    0.001    0.000 core.py:7204(getdoc)
        6    0.001    0.000    0.001    0.000 {dir}
        6    0.000    0.000    0.001    0.000 camera.py:210(docstring_values)
        1    0.000    0.000    0.001    0.001 numerictypes.py:458(_set_array_types)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
       12    0.000    0.000    0.001    0.000 threading.py:576(set)
      268    0.001    0.000    0.001    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
       23    0.001    0.000    0.001    0.000 sre_parse.py:225(isname)
       51    0.001    0.000    0.001    0.000 {numpy.core.multiarray.empty}
       49    0.000    0.000    0.001    0.000 collections.py:358(<genexpr>)
      643    0.001    0.000    0.001    0.000 {ord}
       10    0.001    0.000    0.001    0.000 {method 'fromfile' of 'bitarray._bitarray' objects}
       10    0.001    0.000    0.001    0.000 {numpy.core.multiarray.copyto}
        1    0.001    0.001    0.001    0.001 socket.py:235(_fileobject)
       13    0.001    0.000    0.001    0.000 {_warnings.warn}
        1    0.001    0.001    0.001    0.001 renderers.py:73(<module>)
        2    0.000    0.000    0.001    0.000 fractions.py:68(__new__)
      120    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.001    0.001 defchararray.py:17(<module>)
       10    0.001    0.000    0.001    0.000 {_ctypes.pointer}
       12    0.000    0.000    0.001    0.000 {map}
        1    0.001    0.001    0.001    0.001 encoders.py:911(PiRawMixin)
        1    0.000    0.000    0.001    0.001 numerictypes.py:288(_add_types)
       18    0.000    0.000    0.001    0.000 core.py:902(__init__)
        1    0.000    0.000    0.001    0.001 os.py:35(_get_exports_list)
       12    0.001    0.000    0.001    0.000 __init__.py:501(cast)
        1    0.001    0.001    0.001    0.001 records.py:36(<module>)
        3    0.000    0.000    0.001    0.000 decimal.py:3783(__init__)
        1    0.000    0.000    0.001    0.001 core.py:2572(MaskedArray)
        1    0.001    0.001    0.001    0.001 suite.py:1(<module>)
       19    0.000    0.000    0.001    0.000 posixpath.py:127(dirname)
       31    0.001    0.000    0.001    0.000 encoders.py:999(active)
       10    0.001    0.000    0.001    0.000 {numpy.core.multiarray.frombuffer}
       20    0.000    0.000    0.001    0.000 fromnumeric.py:935(argmin)
        4    0.000    0.000    0.001    0.000 abc.py:128(__instancecheck__)
        1    0.001    0.001    0.001    0.001 contextlib.py:132(closing)
       14    0.000    0.000    0.001    0.000 __init__.py:147(_check_size)
       12    0.000    0.000    0.001    0.000 threading.py:400(notifyAll)
       49    0.000    0.000    0.001    0.000 collections.py:356(<genexpr>)
        7    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        6    0.000    0.000    0.001    0.000 {method 'join' of 'unicode' objects}
        3    0.000    0.000    0.001    0.000 camera.py:3548(_get_hflip)
       20    0.000    0.000    0.001    0.000 sre_parse.py:187(__init__)
        1    0.000    0.000    0.001    0.001 _import_tools.py:1(<module>)
        3    0.000    0.000    0.001    0.000 camera.py:3509(_get_vflip)
        1    0.000    0.000    0.001    0.001 numerictypes.py:345(_add_integer_aliases)
       20    0.000    0.000    0.001    0.000 fromnumeric.py:878(argmax)
       74    0.001    0.000    0.001    0.000 _inspect.py:152(strseq)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
      114    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        9    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
      181    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 renderers.py:222(_set_layer)
       74    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 camera.py:3484(_set_rotation)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
      127    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
      373    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        2    0.000    0.000    0.000    0.000 threading.py:542(Event)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:125(<dictcomp>)
       37    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
       29    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       20    0.000    0.000    0.000    0.000 {method 'argmin' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        2    0.000    0.000    0.000    0.000 camera.py:2210(_get_sensor_mode)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       12    0.000    0.000    0.000    0.000 threading.py:373(notify)
       10    0.000    0.000    0.000    0.000 encoders.py:759(_open_output)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 renderers.py:410(_set_vflip)
        1    0.000    0.000    0.000    0.000 renderers.py:260(_set_fullscreen)
        1    0.000    0.000    0.000    0.000 renderers.py:433(_set_hflip)
        1    0.000    0.000    0.000    0.000 renderers.py:185(_set_alpha)
       32    0.000    0.000    0.000    0.000 camera.py:760(_check_camera_open)
       52    0.000    0.000    0.000    0.000 {repr}
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
       20    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
      114    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        6    0.000    0.000    0.000    0.000 decimal.py:514(__new__)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 camera.py:2445(_set_sharpness)
       40    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       30    0.000    0.000    0.000    0.000 matching.py:18(signature_hamming)
       20    0.000    0.000    0.000    0.000 preprocessing.py:68(get_width_height)
        1    0.000    0.000    0.000    0.000 mmal.py:206(MMAL_ES_FORMAT_T)
        1    0.000    0.000    0.000    0.000 mmal.py:1782(MMAL_COMPONENT_T)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       22    0.000    0.000    0.000    0.000 threading.py:300(_is_owned)
        1    0.000    0.000    0.000    0.000 camera.py:3603(_set_zoom)
       10    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 mmal.py:948(MMAL_PARAMETER_CAMERA_INFO_T)
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:260(__init__)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
      128    0.000    0.000    0.000    0.000 sre_parse.py:219(isident)
        3    0.000    0.000    0.000    0.000 camera.py:148(__getitem__)
        9    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
       32    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        4    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
       65    0.000    0.000    0.000    0.000 camera.py:215(<genexpr>)
        2    0.000    0.000    0.000    0.000 utils.py:152(deprecate)
       40    0.000    0.000    0.000    0.000 {math.sqrt}
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
        2    0.000    0.000    0.000    0.000 encoders.py:367(_encoder_callback)
        7    0.000    0.000    0.000    0.000 {method 'format' of 'unicode' objects}
      147    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       20    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 socket.py:179(_socketobject)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      118    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       39    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 camera.py:3030(_set_exposure_mode)
